,Water_Volumn,ET,GPP,LST_DAY,NPP,PRECIPITATION,Soil_moisture,SRAD,TEM,Snow_cover,Wind_speed,Vap,NDVI,Nighttime,CO2
2018/1/1,149811098838123.00 ,1993.547916,1258.529101,-0.292618627,26.62422712,373.1077965,10.1021733,124.1318271,-7.964846318,17.55203707,3.722789894,0.059556095,0.087654186,1.702228663,407.56
2018/2/1,149807779837069.00 ,2607.486601,1258.529101,3.885909185,26.62422712,1643.311984,10.09940924,152.9875994,-2.566869526,20.22769637,3.567853732,0.084014203,0.083930148,1.702228663,408.23
2018/3/1,102920332230884.00 ,5621.48254,1258.529101,14.76315348,26.62422712,423.7946798,10.10146136,189.9917634,-5.6631092,23.29481833,1.88886744,0.114437134,0.080570877,1.702228663,408.77
2018/4/1,102471026783035.00 ,10963.1865,1258.529101,21.40764079,26.62422712,516.1645103,10.13125221,231.601525,-8.089803149,18.89647504,1.359806135,0.152005183,0.085621858,1.702228663,409.08
2018/5/1,118372125770920.00 ,16819.43685,1258.529101,23.3796209,26.62422712,689.6626066,9.825674671,256.1332725,-7.086744794,16.34023025,1.560354151,0.206225584,0.097968807,1.702228663,408.94
2018/6/1,118375070611623.00 ,22742.84135,1258.529101,25.0960125,26.62422712,1272.955234,9.387147327,237.9924652,-5.005348936,9.114548833,1.248215915,0.3771209,0.136081377,1.702228663,408.06
2018/7/1,99867293234033.60 ,33570.27925,1258.529101,22.364399,26.62422712,1871.83103,12.98762677,195.0673647,-2.56153118,3.891340783,1.043540826,0.54502771,0.178915748,1.702228663,406.47
2018/8/1,99874406189219.00 ,33422.10171,1258.529101,19.3129153,26.62422712,2351.718604,14.15980714,176.4714858,-0.105697627,3.223867358,1.216257111,0.56042288,0.183171202,1.702228663,405.1
2018/9/1,99580339111384.90 ,24456.33557,1258.529101,15.85871867,26.62422712,6797.262298,11.77251031,180.4567584,2.579055226,14.90199274,1.043166011,0.375318535,0.135559397,1.702228663,405.17
2018/10/1,110022373640639.00 ,11672.03698,1258.529101,8.87797379,26.62422712,13674.27707,11.65950108,177.1425531,3.777224564,31.16905925,1.405884802,0.151553902,0.095396948,1.702228663,406.65
2018/11/1,167775325868677.00 ,4317.791343,1258.529101,3.836254115,26.62422712,13259.69035,11.62738951,137.5302459,3.52963979,36.14791808,2.535698874,0.071836165,0.081242603,1.702228663,408.13
2018/12/1,167772212536450.00 ,2242.927036,1258.529101,-2.983557549,26.62422712,6818.985731,11.62734506,115.0502263,1.662423899,39.46429049,2.363039686,0.050216716,0.076928525,1.702228663,409.18
